LA,URN,LONDON/NON-LONDON,MEDIAN,PUPILS,FSM,FSMBAND,GRANTFUNDING,SELFGENERATEDINCOME,TOTALINCOME,TEACHINGSTAFF,SUPPLYTEACHERS,EDUCATIONSUPPORTSTAFF,PREMISES,BACKOFFICE,CATERING,OTHERSTAFF,ENERGY,LEARNINGRESOURCES,ICT,BOUGHTINPROFESSIONALSERVICES,OTHER,TOTALEXPENDITURE,T1213CAT1,T1213CAT2,T1213CAT3,T1213CAT4,T1213CAT5,T1213CAT1LA,T1213CAT2LA,T1213CAT3LA,T1213CAT4LA,T1213CAT5LA,T1314CAT1,T1314CAT2,T1314CAT3,T1314CAT4,T1314CAT5,T1314CAT1LA,T1314CAT2LA,T1314CAT3LA,T1314CAT4LA,T1314CAT5LA,T1415CAT1,T1415CAT2,T1415CAT3,T1415CAT4,T1415CAT5,T1415CAT1LA,T1415CAT2LA,T1415CAT3LA,T1415CAT4LA,T1415CAT5LA,T1516CAT1,T1516CAT2,T1516CAT3,T1516CAT4,T1516CAT5,T1516CAT1LA,T1516CAT2LA,T1516CAT3LA,T1516CAT4LA,T1516CAT5LA,T1617CAT1,T1617CAT2,T1617CAT3,T1617CAT4,T1617CAT5,T1617CAT1LA,T1617CAT2LA,T1617CAT3LA,T1617CAT4LA,T1617CAT5LA,DCAT1,DCAT2,DCAT3,DCAT4,DCAT5,PGRANTFUNDING,PSELFGENERATEDINCOME,PTEACHINGSTAFF,PSUPPLYTEACHERS,PEDUCATIONSUPPORTSTAFF,PPREMISES,PBACKOFFICE,PCATERING,POTHERSTAFF,PENERGY,PLEARNINGRESOURCES,PICT,PBOUGHTINPROFESSIONALSERVICES,POTHER,PT1213CAT1,PT1213CAT2,PT1213CAT3,PT1213CAT4,PT1213CAT5,PT1213CAT1LA,PT1213CAT2LA,PT1213CAT3LA,PT1213CAT4LA,PT1213CAT5LA,PT1314CAT1,PT1314CAT2,PT1314CAT3,PT1314CAT4,PT1314CAT5,PT1314CAT1LA,PT1314CAT2LA,PT1314CAT3LA,PT1314CAT4LA,PT1314CAT5LA,PT1415CAT1,PT1415CAT2,PT1415CAT3,PT1415CAT4,PT1415CAT5,PT1415CAT1LA,PT1415CAT2LA,PT1415CAT3LA,PT1415CAT4LA,PT1415CAT5LA,PT1516CAT1,PT1516CAT2,PT1516CAT3,PT1516CAT4,PT1516CAT5,PT1516CAT1LA,PT1516CAT2LA,PT1516CAT3LA,PT1516CAT4LA,PT1516CAT5LA,PT1617CAT1,PT1617CAT2,PT1617CAT3,PT1617CAT4,PT1617CAT5,PT1617CAT1LA,PT1617CAT2LA,PT1617CAT3LA,PT1617CAT4LA,PT1617CAT5LA,PDCAT1,PDCAT2,PDCAT3,PDCAT4,PDCAT5
815,121764,Non-London,Special,53,35.8,High,"43,187",680,"43,866","13,449","1,468","11,875","3,122","3,217","2,102",555,524,"1,549",525,40,129,"38,555",19576,527,2960,673,30609,17065,527,2093,375,24025,21521,554,3382,665,33652,21521,554,3382,665,33652,"25,028",206,"3,833",598,"37,059","21,733",468,"2,276",411,"31,205","21,697",888,"3,038",699,"33,099","19,838",813,"2,595",451,"28,880",25324,1468,3217,524,38555,"22,629","1,556",43866,11875,524,5748,941,257,-149,7946,98%,2%,35%,4%,31%,8%,8%,5%,1%,1%,4%,1%,0%,0%,64%,2%,10%,2%,100%,NA,NA,NA,NA,NA,64%,2%,10%,2%,100%,NA,NA,NA,NA,NA,68%,1%,10%,2%,100%,NA,NA,NA,NA,NA,66%,3%,6%,4%,100%,NA,NA,NA,NA,NA,66%,4%,8%,1%,100%,NA,NA,NA,NA,NA,2%,2%,-2%,-1%,0%
815,121766,Non-London,Special,72,23.3,Medium,"31,621",959,"32,581","8,650",785,"14,696","3,769","3,161","1,306","1,050",699,385,253,174,355,"35,282",18207,864,2040,991,28135,17951,678,1919,404,27021,17206,718,2367,690,27567,16111,718,1953,391,24669,"18,919","1,101","2,311",635,"29,244","16,599",751,"1,889",381,"23,926","20,222","1,054","2,839",446,"30,840","17,571",780,"2,141",289,"25,175",23345,785,3161,699,35282,"18,228",803,32581,14696,699,5138,-79,1121,-292,7147,97%,3%,25%,2%,42%,11%,9%,4%,3%,2%,1%,1%,0%,1%,65%,3%,7%,4%,100%,NA,NA,NA,NA,NA,62%,3%,9%,3%,100%,NA,NA,NA,NA,NA,65%,4%,8%,2%,100%,NA,NA,NA,NA,NA,66%,3%,4%,2%,100%,NA,NA,NA,NA,NA,66%,2%,9%,2%,100%,NA,NA,NA,NA,NA,1%,-1%,2%,-2%,0%
815,121771,Non-London,Special,49,9.5,Low,"28,378","2,618","30,996","8,534",-246,"14,046","2,192","2,621",238,"1,540",289,"2,626",107,246,154,"32,347",17695,1369,1798,394,27124,17951,678,1919,404,27021,18510,1169,2087,420,27311,16111,718,1953,391,24669,SUPP,854,"2,091",SUPP,"26,951","18,425",755,"1,759",310,"26,951","23,022",628,"2,444",352,"32,357","16,438",628,"2,208",248,"25,627",22580,-246,2621,289,32347,"17,908",292,30996,14046,289,4885,-1615,823,-105,5223,92%,8%,SUPP,-1%,SUPP,7%,8%,1%,5%,1%,8%,0%,1%,0%,65%,5%,7%,1%,100%,NA,NA,NA,NA,NA,68%,4%,8%,2%,100%,NA,NA,NA,NA,NA,SUPP,3%,8%,SUPP,100%,NA,NA,NA,NA,NA,71%,2%,1%,5%,100%,NA,NA,NA,NA,NA,NA,-1%,8%,1%,100%,NA,NA,NA,NA,NA,NA,-6%,1%,0%,0%
815,121772,Non-London,Special,67,50,High,"25,789",814,"26,603","8,927","1,645","11,008","1,558","2,355",362,927,183,839,198,51,"-1,545","26,507",17065,736,2093,192,24025,17065,527,2093,375,24025,18087,744,2191,268,25718,21521,554,3382,665,33652,"18,437",730,"2,176",224,"25,350","21,733",468,"2,276",411,"31,205","17,979",737,"2,152",202,"24,661","19,838",813,"2,595",451,"28,880",19935,1645,2355,183,26507,"22,629","1,556",26603,11008,183,2870,909,262,-9,2482,97%,3%,34%,6%,42%,6%,9%,1%,3%,1%,3%,1%,0%,-6%,71%,3%,9%,1%,100%,NA,NA,NA,NA,NA,70%,3%,9%,1%,100%,NA,NA,NA,NA,NA,73%,3%,9%,1%,100%,NA,NA,NA,NA,NA,73%,3%,1%,3%,100%,NA,NA,NA,NA,NA,75%,6%,9%,1%,100%,NA,NA,NA,NA,NA,4%,3%,0%,0%,0%
815,121775,Non-London,Special,105,25.7,Medium,"19,996",418,"20,414","10,588",671,"5,337",948,"1,469",203,423,132,887,182,295,46,"21,181",12456,142,942,135,16429,12456,296,1295,135,16429,13246,327,1017,147,17503,14166,859,1731,309,20918,"14,279",400,"1,298",126,"18,608","16,599",751,"1,889",381,"23,926","14,920",565,"1,443",132,"19,510","17,571",780,"2,141",289,"25,175",15924,671,1469,132,21181,"18,228",803,20414,5337,132,3468,529,527,-3,4752,98%,2%,50%,3%,25%,4%,7%,1%,2%,1%,4%,1%,1%,0%,76%,1%,6%,1%,100%,NA,NA,NA,NA,NA,76%,2%,6%,1%,100%,NA,NA,NA,NA,NA,77%,2%,7%,1%,100%,NA,NA,NA,NA,NA,77%,3%,1%,3%,100%,NA,NA,NA,NA,NA,75%,3%,7%,1%,100%,NA,NA,NA,NA,NA,-1%,2%,1%,0%,0%
815,121776,Non-London,Special,61,12.9,Low,"28,395",426,"28,820","10,468","1,994","8,531","1,763","2,392",171,"2,323",299,804,236,7,399,"29,385",19417,492,2263,414,26918,17951,678,1919,404,27021,15086,1390,2445,470,24333,14166,859,1731,309,20918,"18,425","2,173","2,636",322,"29,319","18,425",755,"1,759",310,"26,951","16,438","1,895","2,208",235,"25,627","16,438",628,"2,208",248,"25,627",18999,1994,2392,299,29385,"17,908",292,28820,8531,299,-418,1502,129,-115,2467,99%,1%,36%,7%,29%,6%,8%,1%,8%,1%,3%,1%,0%,1%,72%,2%,8%,2%,100%,NA,NA,NA,NA,NA,62%,6%,10%,2%,100%,NA,NA,NA,NA,NA,63%,7%,9%,1%,100%,NA,NA,NA,NA,NA,64%,7%,1%,3%,100%,NA,NA,NA,NA,NA,65%,7%,8%,1%,100%,NA,NA,NA,NA,NA,-7%,5%,0%,-1%,0%
815,121693,Non-London,Secondary with KS4,1533,3.1,Low,"4,645",34,"4,679","3,014",33,395,297,485,-31,70,76,132,55,46,185,"4,757",3248,25,602,91,4769,3495,98,406,109,5007,3304,25,579,86,4781,3535,109,444,111,5113,"3,278",31,591,83,"4,766","3,540",151,374,117,"5,121","3,338",47,590,72,"4,811","3,553",146,463,101,"5,388",3409,33,485,76,4757,"3,727",122,4679,395,76,161,8,-117,-15,-12,99%,1%,63%,1%,8%,6%,10%,-1%,1%,2%,3%,1%,1%,4%,68%,1%,13%,2%,100%,NA,NA,NA,NA,NA,69%,1%,12%,2%,100%,NA,NA,NA,NA,NA,69%,1%,12%,2%,100%,NA,NA,NA,NA,NA,69%,1%,-1%,2%,100%,NA,NA,NA,NA,NA,72%,1%,10%,2%,100%,NA,NA,NA,NA,NA,4%,0%,-3%,0%,0%
815,121694,Non-London,Secondary with KS4,889,0.6,Low,"4,476","1,368","5,844","3,035",114,228,492,362,-69,94,144,220,31,14,"1,134","5,801",3317,51,403,107,5312,3495,98,406,109,5007,3240,55,372,119,5219,3535,109,444,111,5113,"3,230",87,419,170,"5,723","3,540",151,374,117,"5,121","3,146",81,399,160,"5,699","3,553",146,463,101,"5,388",3263,114,362,144,5801,"3,727",122,5844,228,144,-54,63,-41,37,489,77%,23%,52%,2%,4%,8%,6%,-1%,2%,2%,4%,1%,0%,20%,62%,1%,8%,2%,100%,NA,NA,NA,NA,NA,62%,1%,7%,2%,100%,NA,NA,NA,NA,NA,56%,2%,7%,3%,100%,NA,NA,NA,NA,NA,55%,1%,-1%,5%,100%,NA,NA,NA,NA,NA,56%,2%,6%,2%,100%,NA,NA,NA,NA,NA,-6%,1%,-2%,0%,0%
815,121695,Non-London,Secondary with KS4,747,6.8,Low,"5,114",78,"5,192","3,043",122,761,365,409,-35,84,127,126,32,40,229,"5,303",3699,91,396,133,5187,3495,98,406,109,5007,3776,130,449,155,5370,3535,109,444,111,5113,"3,484",104,414,133,"4,961","3,540",151,374,117,"5,121","3,515",95,402,141,"5,015","3,553",146,463,101,"5,388",3804,122,409,127,5303,"3,727",122,5192,761,127,105,31,13,-6,116,99%,1%,57%,2%,14%,7%,8%,-1%,2%,2%,2%,1%,1%,4%,71%,2%,8%,3%,100%,NA,NA,NA,NA,NA,70%,2%,8%,3%,100%,NA,NA,NA,NA,NA,70%,2%,8%,3%,100%,NA,NA,NA,NA,NA,70%,2%,0%,2%,100%,NA,NA,NA,NA,NA,72%,2%,8%,2%,100%,NA,NA,NA,NA,NA,1%,0%,0%,-1%,0%
815,121699,Non-London,Secondary with KS4,670,5,Low,"5,303",32,"5,334","3,246",229,236,460,474,-61,69,93,200,149,65,337,"5,497",3466,60,427,92,4996,3495,98,406,109,5007,3234,234,371,99,5015,3535,109,444,111,5113,"3,325",195,387,89,"5,084","3,540",151,374,117,"5,121","3,475",159,462,82,"5,298","3,553",146,463,101,"5,388",3482,229,474,93,5497,"3,727",122,5334,236,93,16,169,47,1,501,99%,1%,59%,4%,4%,8%,9%,-1%,1%,2%,4%,3%,1%,6%,69%,1%,9%,2%,100%,NA,NA,NA,NA,NA,64%,5%,7%,2%,100%,NA,NA,NA,NA,NA,65%,4%,8%,2%,100%,NA,NA,NA,NA,NA,66%,3%,0%,3%,100%,NA,NA,NA,NA,NA,63%,4%,9%,2%,100%,NA,NA,NA,NA,NA,-6%,3%,0%,0%,0%
