RECTYPE,LEA,ESTAB,URN,SCHNAME,ICLOSE,NFTYPE,TPUP,ATT8SCR,P8PUP,TP8ADJ,P8MEA,P8CILOW,P8CIUPP,P8MEA_ORIG,P8CILOW_ORIG,P8CIUPP_ORIG,PTL2BASICS_94,PTL2BASICS_95,EBACCAPS,PTEBACC_E_PTQ_EE,PTEBACC_94,PTEBACC_95,PT5EM_94,P8_BANDING
1,815,4232,144929,Barlby High School,0,ACC,99,45.9,99,1.00,0.25,0.00,0.49,0.23,-0.02,0.49,60%,37%,3.78,29%,18%,14%,56%,3
1,815,4006,144976,Outwood Academy Easingwold,0,AC
1,815,4611,137139,St Aidan's Church of England High School,0,ACC,247,59.8,240,1.00,0.80,0.64,0.95,0.79,0.63,0.95,88%,71%,5.47,75%,57%,39%,87%,1
1,815,4518,136664,Skipton Girls' High School,0,ACC,112,67.8,108,0.00,0.43,0.19,0.67,0.43,0.19,0.67,98%,89%,6.43,92%,81%,69%,98%,2
1,815,4200,136497,Harrogate Grammar School,0,ACC,251,56.1,229,0.00,0.52,0.36,0.69,0.52,0.35,0.69,84%,61%,5.26,79%,57%,39%,82%,1
1,815,4219,138190,Harrogate High School,0,ACC,65,38.6,58,1.00,-0.23,-0.56,0.09,-0.25,-0.58,0.09,46%,28%,2.91,0%,0%,0%,46%,3
1,815,4002,142884,Scarborough University Technical College,0,UTC,86,30.5,82,1.00,-1.22,-1.50,-0.95,-1.22,-1.50,-0.95,23%,13%,2.56,5%,2%,0%,20%,NA
1,815,4152,136728,Norton College,0,ACC,108,46.2,106,0.00,0.17,-0.07,0.41,0.17,-0.07,0.42,66%,38%,3.85,24%,19%,14%,62%,3
1,815,4047,141930,Stokesley School,0,ACC,185,48.3,180,1.00,-0.23,-0.41,-0.04,-0.23,-0.42,-0.04,65%,44%,4.48,47%,33%,21%,62%,4
1,815,4005,121664,Easingwold School,1,CY,146,53.1,144,0.00,0.51,0.30,0.71,0.51,0.29,0.72,86%,67%,5.08,61%,45%,34%,70%,1
2,815,7009,139482,The Woodlands Academy,0,ACCS,12,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,815,6037,131124,The Faculty of Queen Ethelburga's,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,815,6006,121735,Ampleforth College,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,815,6022,121752,Cundall Manor School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,815,4052,121670,Bedale High School,0,CY,107,46.4,105,0.00,0.02,-0.22,0.26,0.02,-0.22,0.27,64%,40%,4.11,31%,23%,17%,59%,3
1,815,4223,121700,Nidderdale High School,0,CY,51,43.7,45,0.00,0.34,-0.03,0.71,0.34,-0.04,0.72,57%,43%,3.46,0%,0%,0%,55%,3
2,815,7015,121771,The Dales School,0,CYS,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,815,4604,121714,"St Augustine's Roman Catholic School, Scarborough",0,VA,90,48.7,80,2.00,0.29,0.02,0.57,0.27,-0.01,0.55,67%,46%,4.28,37%,18%,11%,64%,2
1,815,4206,121690,Upper Wharfedale School,0,CY,54,43.3,51,0.00,0.61,0.27,0.96,0.61,0.26,0.97,63%,37%,3.36,9%,7%,2%,57%,1
1,815,6019,121748,Read School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,815,7022,121775,The Forest School,0,CYS,8,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,815,4022,121665,Ryedale School,0,CY,119,56.5,112,0.00,0.88,0.65,1.11,0.88,0.64,1.12,82%,61%,5.11,41%,34%,24%,76%,1
1,815,6035,121749,Queen Margaret's School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,815,4215,121694,Ripon Grammar School,0,CY,128,73.5,111,0.00,0.98,0.75,1.22,0.98,0.74,1.22,100%,99%,6.93,79%,67%,52%,100%,1
1,815,4054,121671,Lady Lumley's School,0,CY,119,48.7,114,0.00,0.11,-0.12,0.34,0.11,-0.13,0.34,70%,45%,4.35,44%,28%,18%,64%,3
1,815,4225,121702,Selby High School Specialist School for the Arts and Science,0,CY,217,44.6,213,0.00,0.00,-0.17,0.17,0.00,-0.18,0.17,62%,37%,3.73,13%,9%,6%,59%,3
1,815,4039,121667,Caedmon College Whitby,0,CY,178,42.9,174,2.00,0.01,-0.17,0.20,0.01,-0.18,0.20,58%,37%,3.76,38%,25%,13%,56%,3
1,815,6012,121741,Harrogate Ladies' College,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,815,7030,121780,Forest Moor School,0,CYS,6,1.2,6,0.00,-2.24,-3.26,-1.23,-2.24,-3.28,-1.21,0%,0%,0.03,0%,0%,0%,0%,5
1,815,6002,121730,Scarborough College,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,815,6014,121743,Queen Ethelburga's College,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,815,7027,121778,Brooklands School,0,CYS,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2,815,7029,121779,Mowbray School,0,CYS,29,2.1,27,0.00,-1.50,-1.98,-1.02,-1.50,-1.99,-1.01,0%,0%,0.05,0%,0%,0%,0%,5
1,815,4074,121678,Northallerton School & Sixth Form College,0,VC,175,44.6,172,2.00,-0.13,-0.32,0.06,-0.13,-0.32,0.06,58%,44%,3.84,33%,13%,7%,54%,3
1,815,6000,121725,Queen Mary's School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,815,4610,121718,"Holy Family Catholic High School, Carlton",0,VA,90,42.3,90,0.00,-0.07,-0.33,0.19,-0.07,-0.34,0.19,60%,37%,3.44,20%,12%,7%,60%,3
1,815,4221,121699,Boroughbridge High School,0,CY,126,44.2,120,1.00,-0.09,-0.32,0.13,-0.09,-0.32,0.14,67%,39%,3.77,6%,6%,5%,59%,3
1,815,4070,121675,Graham School,0,CY,193,38.9,191,3.00,-0.40,-0.58,-0.22,-0.41,-0.60,-0.23,49%,28%,3.24,18%,10%,7%,44%,4
1,815,4000,141179,The Skipton Academy,0,AC,88,33.6,85,1.00,-0.32,-0.59,-0.05,-0.32,-0.60,-0.05,38%,18%,2.78,6%,5%,2%,34%,4
1,815,4202,121687,King James's School,0,CY,259,51.0,254,1.00,0.09,-0.07,0.24,0.09,-0.07,0.25,76%,51%,4.47,32%,24%,17%,71%,3
1,815,4609,121717,St John Fisher Catholic High School,0,VA,209,58.1,200,0.00,0.59,0.41,0.76,0.59,0.41,0.77,86%,63%,5.38,79%,56%,38%,83%,1
1,815,4035,121666,Thirsk School & Sixth Form College,0,CY,142,46.7,137,1.00,0.13,-0.09,0.34,0.12,-0.10,0.34,65%,39%,4.14,36%,27%,18%,62%,3
1,815,6011,121740,Giggleswick School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,815,4075,121679,The Wensleydale School & Sixth Form,0,CY,83,43.3,82,1.00,-0.01,-0.28,0.27,-0.01,-0.29,0.27,54%,39%,3.79,20%,13%,10%,49%,3
1,815,4069,121674,George Pindar School,0,FD,113,35.2,110,1.00,-0.50,-0.74,-0.27,-0.53,-0.77,-0.29,53%,29%,3.18,43%,12%,4%,44%,4
1,815,4041,121668,Eskdale School,0,CY
1,815,4205,121689,Settle College,0,CY,93,46.2,92,1.00,0.15,-0.11,0.41,0.14,-0.12,0.41,52%,34%,3.83,11%,9%,8%,49%,3
1,815,4004,121663,Risedale Sports and Community College,0,CY,72,35.7,67,1.00,-0.45,-0.75,-0.15,-0.45,-0.76,-0.14,35%,14%,3.00,24%,11%,4%,31%,4
2,815,7024,121776,Springwater School,0,CYS,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,815,6028,121758,Ashville College,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,815,6004,121733,Fyling Hall School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,815,7000,121764,Brompton Hall School,0,CYS,10,9.3,9,0.00,-1.23,-2.06,-0.41,-1.23,-2.08,-0.39,10%,10%,0.22,0%,0%,0%,10%,5
2,815,7017,121772,Springhead School,0,CYS,5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2,815,7004,121766,Welburn Hall School,0,CYS,9,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,815,4608,121716,Ermysted's Grammar School,0,VA,118,67.0,115,0.00,0.46,0.23,0.69,0.46,0.22,0.69,100%,89%,6.13,46%,45%,36%,100%,2
2,815,6041,112456,Cedar House School,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,815,4003,143138,Brayton Academy,0,AC,74,45.8,74,0.00,0.31,0.03,0.60,0.31,0.02,0.61,72%,49%,4.07,32%,18%,11%,62%,2
2,815,6034,142911,Cambian Spring Hill,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,815,,,,,,5970,48.3,5764,33.00,0.13,0.10,0.16,0.13,0.09,0.16,68.0%,47.7%,4.26,39.8%,27.8%,19.4%,64.1%,2
1,815,4217,136896,Rossett School,0,ACC,255,49.0,238,4.00,-0.12,-0.28,0.04,-0.14,-0.30,0.03,70%,46%,4.67,76%,51%,33%,65%,3
1,815,4211,121693,Tadcaster Grammar School,0,CY,255,52.5,251,1.00,0.09,-0.07,0.25,0.08,-0.08,0.24,78%,59%,4.51,21%,18%,15%,73%,3
1,815,4001,142061,EBOR Academy Filey,0,AC,87,37.1,87,1.00,-0.53,-0.79,-0.26,-0.53,-0.81,-0.26,46%,26%,3.11,18%,8%,3%,37%,5
1,815,4077,121681,Malton School,0,CY,101,48.0,96,0.00,0.08,-0.18,0.33,0.08,-0.18,0.34,66%,38%,4.30,46%,19%,14%,65%,3
1,815,4216,121695,Sherburn High School,0,CY,109,44.4,108,2.00,-0.10,-0.33,0.14,-0.13,-0.38,0.11,65%,50%,4.10,81%,27%,14%,57%,3
1,815,4210,136736,South Craven School,0,ACC,259,47.5,256,1.00,0.13,-0.03,0.28,0.13,-0.03,0.28,66%,43%,3.91,19%,16%,13%,63%,3
2,815,6036,134660,Cambian Scarborough School,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,815,4076,121680,Richmond School,0,CY,236,49.0,234,0.00,0.25,0.08,0.41,0.25,0.08,0.41,69%,44%,4.04,33%,23%,16%,67%,2
1,815,4073,143288,Scalby School,0,ACC,196,49.6,195,2.00,0.46,0.28,0.64,0.45,0.27,0.63,73%,57%,4.49,52%,45%,35%,71%,2
1,815,4605,121715,St Francis Xavier School,0,VA,88,57.7,82,0.00,0.99,0.72,1.27,0.99,0.71,1.27,77%,60%,5.34,72%,48%,33%,77%,1
2,815,7002,121765,Breckenbrough School,0,NMSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,815,4203,137412,Outwood Academy Ripon,0,ACC,92,47.2,88,0.00,0.74,0.48,1.01,0.74,0.47,1.01,76%,49%,3.63,3%,3%,3%,70%,1
5,,,,,,,585377,44.3,,4686.00,,,,-0.08,-0.09,-0.08,59.1%,39.9%,3.83,35.1%,22.0%,15.3%,55.1%
7,,,,,,,523757,46.4,494954,4686.00,-0.02,,,-0.03,-0.03,-0.03,63.9%,43.0%,4.03,38.4%,24.0%,16.6%,59.7%
